trade_date,nav,actual_exposure,executed_target,traded_notional,fee,turnover,daily_return,drawdown,nav_rebased,drawdown_rebased,index_id,index_name,strategy
2018-01-02,1.6224359043892398,1.0,1.0,0.0,0.0,0.0,0.014028364057460774,-0.23653511442462516,1.0,0.0,CSI300,沪深300,Buy & Hold
2018-01-03,1.6319589104775518,1.0,1.0,0.0,0.0,0.0,0.005869573067601053,-0.2320539014941928,1.005869573067601,0.0,CSI300,沪深300,Buy & Hold
2018-01-04,1.6388732941189026,1.0,1.0,0.0,0.0,0.0,0.004236861355368049,-0.22880022034642788,1.0101313029902717,0.0,CSI300,沪深300,Buy & Hold
2018-01-05,1.6428182803559679,1.0,1.0,0.0,0.0,0.0,0.002407133151306917,-0.2269438397905431,1.0125628235368724,0.0,CSI300,沪深300,Buy & Hold
2018-01-08,1.651316279103208,1.0,1.0,0.0,0.0,0.0,0.0051728172548692886,-0.2229449615460286,1.0178006259821033,0.0,CSI300,沪深300,Buy & Hold
2018-01-09,1.6628822741098337,1.0,1.0,0.0,0.0,0.0,0.007004106453130099,-0.21750238533675592,1.0249294099145443,0.0,CSI300,沪深300,Buy & Hold
2018-01-10,1.670231739092062,1.0,1.0,0.0,0.0,0.0,0.004419714550245368,-0.2140439692436964,1.029459305340518,0.0,CSI300,沪深300,Buy & Hold
2018-01-11,1.6693478027377144,1.0,1.0,0.0,0.0,0.0,-0.0005292297671388724,-0.21445992057083496,1.028914484832074,-0.0005292297671387614,CSI300,沪深300,Buy & Hold
2018-01-12,1.677054192399915,1.0,1.0,0.0,0.0,0.0,0.004616407467372685,-0.2108335474822377,1.0336643733431405,0.0,CSI300,沪深300,Buy & Hold
2018-01-15,1.6771487822033373,1.0,1.0,0.0,0.0,0.0,5.6402353514339865e-05,-0.2107890366370011,1.0337226744465409,0.0,CSI300,沪深300,Buy & Hold
2018-01-16,1.6903404278180865,1.0,1.0,0.0,0.0,0.0,0.007865519001491794,-0.20458148280848387,1.041853439784673,0.0,CSI300,沪深300,Buy & Hold
2018-01-17,1.686229522412618,1.0,1.0,0.0,0.0,0.0,-0.002431998512142819,-0.2065159394588244,1.039319653769246,-0.002431998512142708,CSI300,沪深300,Buy & Hold
2018-01-18,1.6954782855500932,1.0,1.0,0.0,0.0,0.0,0.0054848779567340245,-0.20216377622614234,1.0450201952282052,0.0,CSI300,沪深300,Buy & Hold
2018-01-19,1.7010267336835267,1.0,1.0,0.0,0.0,0.0,0.0032724973128355206,-0.19955285932775957,1.0484400210089484,0.0,CSI300,沪深300,Buy & Hold
2018-01-22,1.7213507997798274,1.0,1.0,0.0,0.0,0.0,0.011948116801368203,-0.18998902339768642,1.0609669048391923,0.0,CSI300,沪深300,Buy & Hold
2018-01-23,1.7396159995254319,1.0,1.0,0.0,0.0,0.0,0.010610968866973991,-0.1813940221430521,1.0722247916353307,0.0,CSI300,沪深300,Buy & Hold
2018-01-24,1.7425026755070019,1.0,1.0,0.0,0.0,0.0,0.001659375392246032,-0.18003564752745083,1.0740040150695265,0.0,CSI300,沪深300,Buy & Hold
2018-01-25,1.7326563255082081,1.0,1.0,0.0,0.0,0.0,-0.0056506943359090345,-0.18466901544961478,1.0679351466648295,-0.0056506943359091455,CSI300,沪深300,Buy & Hold
2018-01-26,1.7390947037267142,1.0,1.0,0.0,0.0,0.0,0.003715900333909339,-0.18163932677187733,1.071903487232915,-0.001955791418969288,CSI300,沪深300,Buy & Hold
2018-01-29,1.707625037339711,1.0,1.0,0.0,0.0,0.0,-0.018095429949597674,-0.19644791500778247,1.052506932766962,-0.020015830481949215,CSI300,沪深300,Buy & Hold
2018-01-30,1.6893993327071597,1.0,1.0,0.0,0.0,0.0,-0.01067313036177131,-0.2050243311633776,1.0412733890668724,-0.030475329275687302,CSI300,沪深300,Buy & Hold
2018-01-31,1.6972572724614567,1.0,1.0,0.0,0.0,0.0,0.004651321687043186,-0.20132664359424612,1.04611668656358,-0.025965758148624007,CSI300,沪深300,Buy & Hold
2018-02-01,1.6853488806254897,1.0,1.0,0.0,0.0,0.0,-0.007016256185308212,-0.20693034047116887,1.038776863890924,-0.03279983192271585,CSI300,沪深300,Buy & Hold
2018-02-02,1.6954051699739692,1.0,1.0,0.0,0.0,0.0,0.0059668887932256,-0.20219818200747908,1.0449751299187369,-0.027028656079009505,CSI300,沪深300,Buy & Hold
2018-02-05,1.6965617615359152,1.0,1.0,0.0,0.0,0.0,0.0006821918338044686,-0.20165392812225025,1.0456880034188962,-0.026364902973660898,CSI300,沪深300,Buy & Hold
2018-02-06,1.6468412644796144,1.0,1.0,0.0,0.0,0.0,-0.029306623657065267,-0.2250507559988678,1.0150424186399905,-0.05489886034152214,CSI300,沪深300,Buy & Hold
2018-02-07,1.607787385272599,1.0,1.0,0.0,0.0,0.0,-0.02371441622781789,-0.24342822492654348,0.9909712802354709,-0.07731138214476829,CSI300,沪深300,Buy & Hold
2018-02-08,1.5925252033943518,1.0,1.0,0.0,0.0,0.0,-0.009492661789767376,-0.25061010490699975,0.9815643250288227,-0.08607015313133592,CSI300,沪深300,Buy & Hold
2018-02-09,1.524492588779755,1.0,1.0,0.0,0.0,0.0,-0.042719961021395636,-0.2826240120152005,0.9396319353235989,-0.1251132005658553,CSI300,沪深300,Buy & Hold
2018-02-12,1.5441218187413908,1.0,1.0,0.0,0.0,0.0,0.012875910388877365,-0.2733871430787759,0.951730551921353,-0.11384823653592946,CSI300,沪深300,Buy & Hold
2018-02-13,1.562193432892664,1.0,1.0,0.0,0.0,0.0,0.01170348992672321,-0.26488323682717074,0.9628691208487193,-0.1034771682986797,CSI300,沪深300,Buy & Hold
2018-02-14,1.5746290348709115,1.0,1.0,0.0,0.0,0.0,0.007960347109653876,-0.25903145222618973,0.9705338932718424,-0.09634053536660747,CSI300,沪深300,Buy & Hold
2018-02-22,1.6086749337428141,1.0,1.0,0.0,0.0,0.0,0.02162153632248609,-0.24301057385667857,0.9915183270974234,-0.07680202942887815,CSI300,沪深300,Buy & Hold
2018-02-23,1.6159609683826721,1.0,1.0,0.0,0.0,0.0,0.004529214999891895,-0.2395820059930307,0.9960091267771807,-0.07262066733269779,CSI300,沪深300,Buy & Hold
2018-02-26,1.634747821169223,1.0,1.0,0.0,0.0,0.0,0.01162580851525985,-0.23074153200314762,1.0075885381645433,-0.06183913279009834,CSI300,沪深300,Buy & Hold
2018-02-27,1.6111547505195671,1.0,1.0,0.0,0.0,0.0,-0.014432238626739036,-0.24184365377891792,0.9930467799441856,-0.07537889429593991,CSI300,沪深300,Buy & Hold
2018-02-28,1.5971273962513342,1.0,1.0,0.0,0.0,0.0,-0.008706397857629389,-0.2484444645674052,0.9844009195867538,-0.08342901350976062,CSI300,沪深300,Buy & Hold
2018-03-01,1.6072273485388666,1.0,1.0,0.0,0.0,0.0,0.006323823829732289,-0.24369175976306934,0.9906260975800468,-0.07763278006375252,CSI300,沪深300,Buy & Hold
2018-03-02,1.594277198670664,1.0,1.0,0.0,0.0,0.0,-0.008057447429559716,-0.24978567364932125,0.9826441798764457,-0.08506470544913791,CSI300,沪深300,Buy & Hold
2018-03-05,1.5949265856551327,1.0,1.0,0.0,0.0,0.0,0.00040732376089303024,-0.24948009352843625,0.9830444341994127,-0.08469203056398766,CSI300,沪深300,Buy & Hold
2018-03-06,1.6141651513929824,1.0,1.0,0.0,0.0,0.0,0.012062351904396529,-0.24042705830532152,0.9949022621023843,-0.07365126373575193,CSI300,沪深300,Buy & Hold
2018-03-07,1.602292364699135,1.0,1.0,0.0,0.0,0.0,-0.007355372951523331,-0.2460140005753716,0.9875843849143071,-0.08046490417414776,CSI300,沪深300,Buy & Hold
2018-03-08,1.6185454968259918,1.0,1.0,0.0,0.0,0.0,0.010143674453512608,-0.23836581205470175,0.9976021194102502,-0.07113743951351081,CSI300,沪深300,Buy & Hold
2018-03-09,1.6309557346060073,1.0,1.0,0.0,0.0,0.0,0.007667524826674432,-0.23252596300978712,1.0052512584279714,-0.06401536277041231,CSI300,沪深300,Buy & Hold
2018-03-12,1.6384185247618699,1.0,1.0,0.0,0.0,0.0,0.004575715942201963,-0.2290142198235049,1.009851002637079,-0.0597325629441845,CSI300,沪深300,Buy & Hold
2018-03-13,1.6239649408213126,1.0,1.0,0.0,0.0,0.0,-0.008821667798621813,-0.2358156002536832,1.0009424325657095,-0.06802728991575258,CSI300,沪深300,Buy & Hold
2018-03-14,1.6168563761819166,1.0,1.0,0.0,0.0,0.0,-0.004377289472641488,-0.2391606565818496,0.9965610177929195,-0.07210680424839344,CSI300,沪深300,Buy & Hold
2018-03-15,1.6259136574848514,1.0,1.0,0.0,0.0,0.0,0.005601784695510759,-0.23489859839214733,1.0021435380505344,-0.0669089463453637,CSI300,沪深300,Buy & Hold
2018-03-16,1.6101393887186686,1.0,1.0,0.0,0.0,0.0,-0.009701787480267732,-0.24232144959140167,0.9924209544196446,-0.07596159744765996,CSI300,沪深300,Buy & Hold
2018-03-19,1.6172148886051267,1.0,1.0,0.0,0.0,0.0,0.004394339978285311,-0.23899195244665206,0.9967819894949388,-0.07190105855385343,CSI300,沪深300,Buy & Hold
2018-03-20,1.618586778150188,1.0,1.0,0.0,0.0,0.0,0.0008483038059614589,-0.23834638642354522,0.9976275634503411,-0.07111374868951592,CSI300,沪深300,Buy & Hold
2018-03-21,1.6119762488710685,1.0,1.0,0.0,0.0,0.0,-0.004084136462967014,-0.2414570837189034,0.9935531163419927,-0.07490744689844175,CSI300,沪深300,Buy & Hold
2018-03-22,1.5958204850983009,1.0,1.0,0.0,0.0,0.0,-0.010022333631827474,-0.249059453899932,0.9835953955290714,-0.08417903310594466,CSI300,沪深300,Buy & Hold
2018-03-23,1.550008734039651,1.0,1.0,0.0,0.0,0.0,-0.028707333617056574,-0.2706169546834013,0.9553589943654176,-0.11046981113606757,CSI300,沪深300,Buy & Hold
2018-03-26,1.5400684690283113,1.0,1.0,0.0,0.0,0.0,-0.006413038064265075,-0.27529451591644616,0.9492322407695142,-0.11617440209656493,CSI300,沪深300,Buy & Hold
