ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,index_id,index_name,n_active,breadth_coverage,breadth_positive,total_amount_cny,tail_loss_share,index_return,ma200,ma20,ma60,vol20,breadth_raw,trend_raw,liquidity_raw,volatility_raw,stress_tail_raw,breadth_score,trend_score,volatility_score,liquidity_score,stress_tail_score,risk_score,Risk Score,Buy & Hold,MA200,MA20/MA60,Volatility Targeting
000300.SH,2013-01-04,2551.814,2558.529,2498.892,2524.409,2522.952,0.0577,97988182.0,95579245.007,CSI300,沪深300,2406,0.0,,207693094304.10013,0.0133000831255195,0.0005774981053938699,,,,,,,,,,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-07,2518.047,2545.969,2511.603,2535.985,2524.409,0.4586,75167993.0,73167512.509,CSI300,沪深300,2397,0.0,,182007759129.2,0.0008343763037129,0.004585627764756017,,,,,,,,,,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-08,2534.647,2540.513,2502.49,2525.33,2535.985,-0.4202,71837100.0,76498061.772,CSI300,沪深300,2392,0.0,,209562612310.10007,0.0004180602006688,-0.0042015232739942565,,,,,,,,,,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-09,2518.104,2534.239,2504.299,2526.126,2525.33,0.0315,70231170.0,74233596.955,CSI300,沪深300,2396,0.0,,207072212084.19983,0.0070951585976627,0.00031520632947001914,,,,,,,,,,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-10,2525.59,2553.352,2513.729,2530.569,2526.126,0.1759,71085862.0,71159045.499,CSI300,沪深300,2387,0.0,,187882146361.7,0.0008378718056137,0.0017588196313247373,,,,,,,,,0.00449711000663552,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-11,2533.495,2539.794,2473.696,2483.23,2530.569,-1.8707,74239176.0,72775921.987,CSI300,沪深300,2388,0.0,,202982565793.2,0.0427135678391959,-0.01870685999868016,,,,,,,,,0.010379806949370799,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-14,2474.176,2583.625,2473.998,2577.725,2483.23,3.8053,93554091.0,96853471.373,CSI300,沪深300,2394,0.0,,242384472969.9,0.0,0.03805326127664377,,,,,,,,,0.01021293168862822,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-15,2579.132,2605.41,2576.919,2595.856,2577.725,0.7034,98620805.0,101356961.358,CSI300,沪深300,2391,0.0,,278665777669.29974,0.000418235048097,0.007033721595593123,,,,,,,,,0.01021296665811386,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-16,2591.365,2600.093,2540.521,2577.092,2595.856,-0.7228,93536084.0,95564995.007,CSI300,沪深300,2391,0.0,,254774715230.39996,0.0062735257214554,-0.0072284441047577586,,,,,,,,,0.0100486400828724,,,,,,,,1.0,0.2,0.2,
000300.SH,2013-01-17,2570.711,2575.058,2539.674,2552.758,2577.092,-0.9442,69915239.0,71716118.533,CSI300,沪深300,2391,0.0,,196746747662.8,0.0380593893768297,-0.009442425803968257,,,,,,,,,0.0174929435971156,,,,,,,,1.0,0.2,0.2,
