index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-bear_market-005,bear_market,2018-01-24,2018-01-24,2020-07-03,MA20/MA60,0.2189190389810023,1.0,1.0,0.1955704238584785,1.0,12,6
CSI300,沪深300,CSI300-bear_market-005,bear_market,2018-01-24,2018-01-24,2020-07-03,Volatility Targeting,0.2931975643497101,1.0,1.0,0.3881944649576839,1.0,445,633
CSI300,沪深300,CSI300-bear_market-005,bear_market,2018-01-24,2018-01-24,2020-07-03,Risk Score,0.20353495673875666,0.7305985468906194,0.850013033139991,0.19699906002580692,0.8519213460160978,131,249
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,Buy & Hold,0.45602620484864576,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,Constant Exposure - Train Fixed,0.3103452357317341,0.6202381540899611,0.6229420268257807,0.5899242769872342,0.6995394835236486,5,0
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,MA200,0.3577608745602958,1.0,1.0,0.1934466884908243,0.19974743281766888,59,43
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,MA20/MA60,0.38287465092179607,1.0,1.0,0.19174716097843922,0.19974743281766888,31,6
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,Volatility Targeting,0.447832577970114,0.6710942035727558,0.7096144143246045,0.270846789407215,0.9212188621896114,733,633
CSI300,沪深300,CSI300-bear_market_unrecovered-006,bear_market_unrecovered,2021-02-10,2021-02-10,2026-09-01,Risk Score,0.3950657971973902,0.6512738036026403,0.6538646844087722,0.19448628821324362,0.6496412563708466,291,249
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,Buy & Hold,0.1251132005658553,,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,Constant Exposure - Train Fixed,0.08018276599451413,,0.0,0.0,0.6284035432182595,0,0
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,MA200,0.1362092747410465,,1.0,0.19907480150426904,0.19958568398656848,3,43
