index_id,index_name,strategy,year,return,complete_year
CSI1000,中证1000,MA20/MA60,2020,0.15691882788127254,True
CSI1000,中证1000,MA20/MA60,2021,0.1827782656689556,True
CSI1000,中证1000,MA20/MA60,2022,-0.11527700104183058,True
CSI1000,中证1000,MA20/MA60,2023,-0.09912337930463566,True
CSI1000,中证1000,MA20/MA60,2024,-0.06686241991499231,True
CSI1000,中证1000,MA20/MA60,2025,0.09161961845386535,True
CSI1000,中证1000,MA20/MA60,2026,-0.09146659617061981,False
CSI1000,中证1000,Volatility Targeting,2018,-0.368148091941199,True
CSI1000,中证1000,Volatility Targeting,2019,0.18256457043913388,True
CSI1000,中证1000,Volatility Targeting,2020,0.07629896616448262,True
CSI1000,中证1000,Volatility Targeting,2021,0.152269451434782,True
CSI1000,中证1000,Volatility Targeting,2022,-0.21416956751189808,True
CSI1000,中证1000,Volatility Targeting,2023,-0.07532798658510287,True
CSI1000,中证1000,Volatility Targeting,2024,-0.10678078377119182,True
CSI1000,中证1000,Volatility Targeting,2025,0.11788112176719046,True
CSI1000,中证1000,Volatility Targeting,2026,0.008190886784610774,False
CSI1000,中证1000,Risk Score,2018,-0.2280360824261628,True
CSI1000,中证1000,Risk Score,2019,0.2039060745460095,True
CSI1000,中证1000,Risk Score,2020,0.08251729779961336,True
CSI1000,中证1000,Risk Score,2021,0.11382907703705003,True
CSI1000,中证1000,Risk Score,2022,-0.13346370039993527,True
CSI1000,中证1000,Risk Score,2023,-0.07823541378318188,True
CSI1000,中证1000,Risk Score,2024,0.061425038966691936,True
CSI1000,中证1000,Risk Score,2025,0.16698470682577615,True
CSI1000,中证1000,Risk Score,2026,0.03760938199150354,False
CSI2000,中证2000,Buy & Hold,2018,-0.33342492215540565,True
CSI2000,中证2000,Buy & Hold,2019,0.21960732314936826,True
CSI2000,中证2000,Buy & Hold,2020,0.15389831461227765,True
CSI2000,中证2000,Buy & Hold,2021,0.25893504858874783,True
CSI2000,中证2000,Buy & Hold,2022,-0.14774946978204828,True
CSI2000,中证2000,Buy & Hold,2023,0.05567506377242326,True
CSI2000,中证2000,Buy & Hold,2024,-0.021406298962609482,True
CSI2000,中证2000,Buy & Hold,2025,0.3641760013116935,True
CSI2000,中证2000,Buy & Hold,2026,-0.008933352593048394,False
CSI2000,中证2000,Constant Exposure - Train Fixed,2018,-0.15162843633047218,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2019,0.12396409335857661,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2020,0.09979882327640377,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2021,0.16215681341533905,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2022,-0.10041241250956823,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2023,0.040413854044211606,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2024,0.006081556906721852,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2025,0.20505479829628115,True
CSI2000,中证2000,Constant Exposure - Train Fixed,2026,-0.001487117603303889,False
CSI2000,中证2000,MA200,2018,-0.07341575327644412,True
CSI2000,中证2000,MA200,2019,-0.0733087742054992,True
CSI2000,中证2000,MA200,2020,-0.00466792052471332,True
CSI2000,中证2000,MA200,2021,0.20926782248191622,True
CSI2000,中证2000,MA200,2022,-0.22533052067937875,True
CSI2000,中证2000,MA200,2023,-0.05110289923395728,True
CSI2000,中证2000,MA200,2024,-0.02647886380895248,True
CSI2000,中证2000,MA200,2025,0.2910422186634538,True
CSI2000,中证2000,MA200,2026,0.02732669692707157,False
CSI2000,中证2000,MA20/MA60,2018,-0.14864770271577032,True
CSI2000,中证2000,MA20/MA60,2019,0.06455861981497879,True
CSI2000,中证2000,MA20/MA60,2020,0.13897287981871198,True
CSI2000,中证2000,MA20/MA60,2021,0.18952482145671556,True
CSI2000,中证2000,MA20/MA60,2022,-0.1513519950296346,True
CSI2000,中证2000,MA20/MA60,2023,-0.030921132259525863,True
CSI2000,中证2000,MA20/MA60,2024,-0.06212341402455357,True
CSI2000,中证2000,MA20/MA60,2025,0.12129244343697754,True
CSI2000,中证2000,MA20/MA60,2026,0.0003452684708609155,False
CSI2000,中证2000,Volatility Targeting,2018,-0.3415015475252221,True
CSI2000,中证2000,Volatility Targeting,2019,0.12278629277276343,True
CSI2000,中证2000,Volatility Targeting,2020,0.017979324070577674,True
CSI2000,中证2000,Volatility Targeting,2021,0.19116695867194378,True
CSI2000,中证2000,Volatility Targeting,2022,-0.1581758544909163,True
CSI2000,中证2000,Volatility Targeting,2023,0.013390749010831815,True
CSI2000,中证2000,Volatility Targeting,2024,-0.1214572923007945,True
CSI2000,中证2000,Volatility Targeting,2025,0.12949718540738941,True
CSI2000,中证2000,Volatility Targeting,2026,-0.021497115848537085,False
CSI2000,中证2000,Risk Score,2018,-0.23938321149737374,True
CSI2000,中证2000,Risk Score,2019,0.136011026197024,True
CSI2000,中证2000,Risk Score,2020,0.04727371550848147,True
CSI2000,中证2000,Risk Score,2021,0.15068475628774358,True
CSI2000,中证2000,Risk Score,2022,-0.09625628475926007,True
CSI2000,中证2000,Risk Score,2023,-0.004234320833454097,True
CSI2000,中证2000,Risk Score,2024,0.03852206633569644,True
CSI2000,中证2000,Risk Score,2025,0.18242768027493583,True
CSI2000,中证2000,Risk Score,2026,0.028496102874578266,False
