strategy,CAGR,Max Drawdown,Calmar Ratio,Sharpe Ratio,Annualized Volatility,Worst Year Return,Recovery Time,Recovery Status,Average Exposure,Exposure Changes,Turnover,Downside Capture,Down Months,index_id,index_name,sample,sample_start,sample_end
Buy & Hold,0.09614076838035346,0.3640166091573136,0.26411093879182096,0.4657594234130873,0.3067324913944292,-0.021406298962609482,235,recovered,1.0,0,0.0,100.0,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
Constant Exposure - Train Fixed,0.0652613804468345,0.24868058712040986,0.26243053871846966,0.4368966733025004,0.19348117090086922,0.006081556906721852,233,recovered,0.6227607334623619,3,2.569051501950052,63.9842237900911,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
MA200,0.07358215810804158,0.20532001946843004,0.3583779034238576,0.45266617508067714,0.21510876220393463,-0.02647886380895248,256,recovered,0.6858892410428441,10,8.65030537724721,56.91610349347699,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
MA20/MA60,0.008607240061391686,0.2870088700468564,0.02998945663242564,0.15083522066698113,0.21470639214440534,-0.06212341402455357,257,recovered,0.6265498352127065,18,15.146355604291882,59.89744237396949,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
Volatility Targeting,-0.019145175463716413,0.310100799372402,-0.06173855566468519,-0.020890476520531272,0.1801147423039468,-0.1214572923007945,519,recovered,0.6312354781555186,685,16.869351999208753,80.48529162237367,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
Risk Score,0.07554493462150691,0.20627431376935768,0.3662352972652536,0.5015730987419988,0.18544692111016026,0.03852206633569644,211,recovered,0.6118408648915551,166,35.96856466804995,58.22431078929265,18.0,CSI2000,中证2000,post_publication,2023-08-11,2026-09-01
