strategy,CAGR,Max Drawdown,Calmar Ratio,Sharpe Ratio,Annualized Volatility,Worst Year Return,Recovery Time,Recovery Status,Average Exposure,Exposure Changes,Turnover,index_id,index_name,matched_exposure
Constant Exposure - Full Sample,0.01440710895484032,0.3115286724026335,0.04624649424313641,0.18237900819303104,0.12269593789188185,-0.1640083880616522,,unrecovered,0.6320537080041623,0,4.48436067836631,CSI300,沪深300,0.6319386758094198
Constant Exposure - Full Sample,0.014147357798192317,0.319654438264685,0.04425828677679054,0.17149333469817224,0.15809302541796744,-0.24660440808549278,992.0,recovered,0.6307548011367554,0,5.828765683364441,CSI1000,中证1000,0.6305873782750995
Constant Exposure - Full Sample,0.03368106384481795,0.2696174144345591,0.12492169289381319,0.2892218989700224,0.16781645785440552,-0.21982514286850519,701.0,recovered,0.6298598415367519,0,6.125768323716791,CSI2000,中证2000,0.6295982656529111
