序号,信号日,执行日,Risk Score,目标档位,原风险仓位%,新风险仓位%
103,2019-03-01,2019-03-04,27.3,M1,100.0,90.0
104,2019-03-22,2019-03-25,18.76,M0,90.0,100.0
105,2019-03-29,2019-04-01,34.01,M1,100.0,90.0
106,2019-04-12,2019-04-15,36.61,M2,90.0,80.0
107,2019-04-26,2019-04-29,57.71,M3,80.0,65.0
108,2019-04-30,2019-05-06,72.67,M5,65.0,35.0
109,2019-05-31,2019-06-03,64.03,M4,35.0,50.0
110,2019-06-06,2019-06-10,71.88,M5,50.0,35.0
111,2019-06-14,2019-06-17,68.76,M4,35.0,50.0
112,2019-06-21,2019-06-24,29.89,M1,50.0,90.0
113,2019-06-28,2019-07-01,50.6,M3,90.0,65.0
114,2019-07-05,2019-07-08,35.36,M2,65.0,80.0
115,2019-07-12,2019-07-15,55.43,M3,80.0,65.0
116,2019-07-26,2019-07-29,61.02,M4,65.0,50.0
117,2019-08-02,2019-08-05,51.69,M3,50.0,65.0
118,2019-08-09,2019-08-12,66.71,M4,65.0,50.0
119,2019-08-16,2019-08-19,43.97,M2,50.0,80.0
120,2019-09-06,2019-09-09,13.05,M0,80.0,100.0
121,2019-09-20,2019-09-23,23.23,M1,100.0,90.0
122,2019-09-27,2019-09-30,55.32,M3,90.0,65.0
123,2019-10-11,2019-10-14,46.17,M2,65.0,80.0
124,2019-10-18,2019-10-21,58.15,M3,80.0,65.0
125,2019-11-01,2019-11-04,49.58,M2,65.0,80.0
126,2019-11-15,2019-11-18,59.95,M3,80.0,65.0
127,2019-11-22,2019-11-25,49.42,M2,65.0,80.0
128,2019-11-29,2019-12-02,58.33,M3,80.0,65.0
129,2019-12-06,2019-12-09,36.69,M2,65.0,80.0
130,2019-12-13,2019-12-16,17.96,M0,80.0,100.0
131,2019-12-27,2019-12-30,23.78,M1,100.0,90.0
132,2019-12-31,,18.1,M0,90.0,100.0
